230000  黑龙江省	1
230100000000	哈尔滨市	2
230101000000	市辖区	3
230102000000	道里区	3
230102001000	兆麟街道	4
230102002000	新阳路街道	4
230102003000	抚顺街道	4
230102004000	共乐街道	4
230102005000	新华街道	4
230102006000	城乡路街道	4
230102007000	工农街道	4
230102008000	尚志街道	4
230102009000	斯大林街道	4
230102010000	通江街道	4
230102011000	经纬街道	4
230102012000	工程街道	4
230102013000	安静街道	4
230102014000	安和街道	4
230102015000	正阳河街道	4
230102016000	建国街道	4
230102017000	康安街道	4
230102018000	爱建街道	4
230102019000	群力街道	4
230102101000	太平镇	4
230102102000	新发镇	4
230102103000	新农镇	4
230102104000	榆树镇	4
230102500000	闫家岗农场	4
230102579000	道里区农垦	4
230103000000	南岗区	3
230103001000	花园街道	4
230103002000	奋斗路街道	4
230103003000	革新街道	4
230103004000	文化街道	4
230103005000	大成街道	4
230103006000	芦家街道	4
230103007000	荣市街道	4
230103009000	燎原街道	4
230103010000	松花江街道	4
230103011000	曲线街道	4
230103012000	通达街道	4
230103013000	七政街道	4
230103015000	和兴路街道	4
230103016000	哈西街道	4
230103017000	保健路街道	4
230103018000	先锋路街道	4
230103019000	新春街道	4
230103020000	跃进街道	4
230103101000	王岗镇	4
230103201000	红旗满族乡	4
230103500000	红旗农场	4
230103579000	南岗区农垦	4
230104000000	道外区	3
230104001000	靖宇街道	4
230104002000	太古街道	4
230104003000	东莱街道	4
230104004000	滨江街道	4
230104005000	仁里街道	4
230104006000	南市街道	4
230104007000	崇俭街道	4
230104008000	振江街道	4
230104009000	东原街道	4
230104010000	大兴街道	4
230104011000	胜利街道	4
230104012000	南马街道	4
230104021000	民强街道	4
230104022000	大有坊街道	4
230104023000	南直路街道	4
230104024000	化工街道	4
230104025000	火车头街道	4
230104026000	新一街道	4
230104027000	三棵树大街街道	4
230104028000	水泥路街道	4
230104029000	太平大街街道	4
230104030000	黎华街道	4
230104031000	新乐街道	4
230104102000	永源镇	4
230104109000	巨源镇	4
230104111000	团结镇	4
230104112000	民主镇	4
230104500000	青年农场	4
230104579000	道外农垦	4
230108000000	平房区	3
230108001000	兴建街道	4
230108002000	保国街道	4
230108003000	联盟街道	4
230108004000	友协街道	4
230108005000	新疆街道	4
230108006000	新伟街道	4
230108007000	平新街道	4
230108008000	建安街道	4
230108009000	平盛街道	4
230108101000	平房镇	4
230108579000	平房农垦	4
230109000000	松北区	3
230109002000	太阳岛街道	4
230109003000	松浦街道	4
230109004000	万宝街道	4
230109005000	松北街道	4
230109006000	松安街道	4
230109007000	松祥街道	4
230109008000	船口街道	4
230109101000	对青山镇	4
230109102000	乐业镇	4
230110000000	香坊区	3
230110001000	香坊大街街道	4
230110002000	安埠街道	4
230110003000	通天街道	4
230110004000	新香坊街道	4
230110005000	铁东街道	4
230110006000	新成街道	4
230110007000	红旗街道	4
230110008000	六顺街道	4
230110009000	建筑街道	4
230110010000	哈平路街道	4
230110011000	安乐街道	4
230110012000	健康路街道	4
230110013000	大庆路街道	4
230110014000	进乡街道	4
230110015000	通乡街道	4
230110016000	和平路街道	4
230110017000	民生路街道	4
230110018000	文政街道	4
230110019000	王兆街道	4
230110020000	黎明街道	4
230110101000	成高子镇	4
230110102000	幸福镇	4
230110103000	朝阳镇	4
230110104000	向阳镇	4
230110400000	哈尔滨综合保税区地区	4
230110500000	香坊实验农场地区	4
230110579000	香坊区农垦地区	4
230111000000	呼兰区	3
230111001000	呼兰街道	4
230111002000	兰河街道	4
230111003000	腰卜街道	4
230111004000	利民街道	4
230111005000	康金街道	4
230111006000	双井街道	4
230111007000	建设路街道	4
230111008000	学院路街道	4
230111009000	长岭街道	4
230111010000	沈家街道	4
230111011000	南京路街道	4
230111012000	裕民街道	4
230111013000	裕田街道	4
230111014000	裕强街道	4
230111015000	萧乡街道	4
230111016000	公园路街道	4
230111017000	三电街道	4
230111105000	二八镇	4
230111106000	石人镇	4
230111107000	白奎镇	4
230111109000	方台镇	4
